0,0,0
0,0,0
1000,2.77777777777778,500
120000,333.333333333333,500
120000,333.333333333333,500
122000,342.777777777778,1432
301000,1188.05555555556,1432
304000,1202.22222222222,2531
360000,1466.66666666667,2531
360000,1466.66666666667,2531
362000,1481.66666666667,3399
541000,2824.16666666667,3399
547000,2869.16666666667,4999
722000,4181.66666666667,4999
728000,4226.66666666667,6599
903000,5539.16666666667,6599
909000,5584.16666666667,8199
1084000,6896.66666666667,8199
1090000,6941.66666666667,9799
1260000,8216.66666666667,9799
1262000,8226.11111111111,9799
1265000,8240.27777777778,10898
1444000,9085.55555555555,10898
1447000,9099.72222222222,11997
1625000,9940.27777777778,11997
1628000,9954.44444444445,13092
1800000,10766.6666666667,13092
1800000,10766.6666666667,13092
1800000,10766.6666666667,13092
1801000,10772.7777777778,14442
1981000,11872.7777777778,14442
1987000,11909.4444444444,15792
2161000,12972.7777777778,15792
2163000,12985,16242
2220000,13333.3333333333,16242
2221000,13337.5,16242
2223000,13345.8333333333,16991
2402000,14091.6666666667,16991
2404000,14100,17740
2583000,14845.8333333333,17740
2585000,14854.1666666667,18489
2764000,15600,18489
2766000,15608.3333333333,19238
2820000,15833.3333333333,19238
2820000,15833.3333333333,19238
2824000,17850,20493.2
2825000,17854.1666666667,20807
2838000,17908.3333333333,20807
2840000,17916.6666666667,21556
3019000,18662.5,21556
3021000,18670.8333333333,22305
3200000,19416.6666666667,22305
3202000,19425,23054
3380000,20166.6666666667,23054
3383000,20179.1666666667,23803
3561000,20920.8333333333,23803
3562000,20925,23986
3600000,21083.3333333333,23986
3600000,21083.3333333333,23986
3600000,21083.3333333333,23986
3603000,21100,24986
3781000,22088.8888888889,24986
3784000,22105.5555555556,25986
3962000,23094.4444444444,25986
3965000,23111.1111111111,26986
4143000,24100,26986
4146000,24116.6666666667,27986
4324000,25105.5555555556,27986
4327000,25122.2222222222,28986
4505000,26111.1111111111,28986
4508000,26127.7777777778,29986
4620000,26750,29986
4620000,26750,29986
4621000,26752.2222222222,30052
4800000,27150,30052
4802000,27154.4444444444,30452
4981000,27552.2222222222,30452
4983000,27556.6666666667,30852
5162000,27954.4444444444,30852
5163000,27956.6666666667,31252
5343000,28356.6666666667,31252
5344000,28358.8888888889,31652
5400000,28483.3333333333,31652
5400000,28483.3333333333,31652
5580000,28683.3333333333,31652
5581000,28684.4444444444,31851
5760000,28883.3333333333,31851
5761000,28884.4444444444,32050
5941000,29084.4444444444,32050
5942000,29085.5555555556,32249
6122000,29285.5555555556,32249
6123000,29286.6666666667,32448
6303000,29486.6666666667,32448
6304000,29487.7777777778,32586
6420000,29616.6666666667,32586
6421000,29619.4444444444,32586
6422000,29622.2222222222,33085
6602000,30122.2222222222,33085
6604000,30127.7777777778,33584
6783000,30625,33584
6785000,30630.5555555556,34083
6964000,31127.7777777778,34083
6965000,31130.5555555556,34582
7144000,31627.7777777778,34582
7145000,31630.5555555556,34749
7200000,31783.3333333333,34749
